name,GW,was_home,position,goals_scored,assists,bonus,clean_sheets,saves,goals_conceded,yellow_cards,minutes,total_points
Abdoulaye_Doucouré_368,31,False,3,4,3,9,10,0,43,8,2564,96
Abdoulaye_Doucouré_368,32,True,3,4,3,9,10,0,46,9,2654,97
Abdoulaye_Doucouré_368,33,False,3,4,3,9,10,0,49,9,2744,98
Abdoulaye_Doucouré_368,34,True,3,4,3,9,10,0,50,9,2834,100
Abdoulaye_Doucouré_368,35,True,3,4,3,9,10,0,51,9,2924,102
Abdoulaye_Doucouré_368,36,False,3,4,4,9,10,0,54,9,2995,104
Abdoulaye_Doucouré_368,37,True,3,4,4,9,10,0,58,9,3076,109
Abdoulaye_Doucouré_368,38,False,3,4,4,9,10,0,61,9,3156,111
Adam_Idah_538,21,True,4,0,0,0,0,0,0,0,1,0
Adam_Idah_538,22,False,4,0,0,0,0,0,3,0,65,1
Adam_Idah_538,29,False,4,0,0,0,0,0,3,0,68,3
Adam_Idah_538,30,True,4,0,0,0,0,0,3,0,78,4
Adam_Idah_538,31,True,4,0,0,0,0,0,3,0,88,5
Adam_Idah_538,32,False,4,0,0,0,0,0,5,0,133,6
Adam_Idah_538,33,True,4,0,0,0,0,0,5,0,156,7
Adam_Idah_538,34,False,4,0,0,0,0,0,5,0,170,8
Adam_Idah_538,35,True,4,0,0,0,0,0,6,0,191,9
Adam_Idah_538,36,False,4,0,0,0,0,0,6,0,202,10
Adam_Idah_538,37,True,4,0,0,0,0,0,6,0,206,11
Adam_Idah_538,38,False,4,0,0,0,0,0,9,0,219,12
Adam_Lallana_195,3,True,3,0,0,0,0,0,0,0,4,0
Adam_Lallana_195,6,False,3,0,0,0,0,0,0,0,10,1
Adam_Lallana_195,8,True,3,0,0,0,0,0,0,0,11,2
Adam_Lallana_195,9,False,3,1,0,1,0,0,0,0,30,3
Adam_Lallana_195,11,False,3,1,0,1,0,0,1,0,113,10
Adam_Lallana_195,14,True,3,1,0,1,0,0,2,0,134,12
Adam_Lallana_195,15,True,3,1,0,1,0,0,4,0,205,13
Adam_Lallana_195,19,False,3,1,0,1,0,0,4,0,213,15
Adam_Lallana_195,20,True,3,1,1,1,1,0,4,1,279,16
Adam_Lallana_195,21,True,3,1,1,1,1,0,4,1,281,21
Adam_Lallana_195,22,False,3,1,1,1,1,0,4,1,310,22
Adam_Lallana_195,23,True,3,1,1,1,1,0,4,1,334,23
Adam_Lallana_195,25,True,3,1,1,1,1,0,4,1,336,24
Adam_Lallana_195,28,False,3,1,1,1,1,0,5,1,365,25
Adam_Lallana_195,29,True,3,1,1,1,1,0,5,1,371,26
Adam_Masina_355,10,True,2,0,0,0,1,0,0,0,72,0
Adam_Masina_355,11,True,2,0,0,0,1,0,2,0,162,6
Adam_Masina_355,12,False,2,0,0,0,1,0,2,1,164,7
Adam_Masina_355,13,True,2,0,0,0,1,0,5,1,209,7
Adam_Masina_355,14,False,2,0,0,0,1,0,7,1,299,7
Adam_Masina_355,15,False,2,0,0,0,1,0,9,2,389,8
Adam_Masina_355,16,True,2,0,0,0,2,0,9,2,479,8
Adam_Masina_355,20,True,2,0,0,0,2,0,9,2,484,14
Adam_Masina_355,21,True,2,0,0,0,2,0,9,2,501,15
Adam_Masina_355,22,False,2,0,0,1,3,0,9,2,591,16
Adam_Masina_355,23,True,2,0,0,1,4,0,9,2,681,23
Adam_Masina_355,24,False,2,0,0,1,4,0,11,2,771,29
Adam_Masina_355,25,True,2,1,0,1,4,0,14,3,861,30
Adam_Masina_355,26,False,2,1,0,1,4,0,15,3,951,36
Adam_Masina_355,27,False,2,1,0,1,4,0,18,3,1041,38
Adam_Masina_355,28,True,2,1,0,2,5,0,18,3,1131,39
Adam_Masina_355,29,False,2,1,0,2,5,0,19,3,1221,46
Adam_Masina_355,30,True,2,1,0,4,6,0,19,3,1308,48
Adam_Masina_355,31,False,2,1,0,4,6,0,20,3,1398,56
Adam_Masina_355,32,True,2,1,0,4,6,0,22,3,1471,58
Adam_Masina_355,33,False,2,1,0,4,6,0,23,3,1497,59
Adam_Masina_355,34,True,2,1,0,4,6,0,24,3,1587,60
Adam_Masina_355,35,True,2,1,0,4,6,0,25,3,1677,62
Adam_Masina_355,36,False,2,1,0,4,6,0,28,3,1722,64
Adam_Masina_355,37,True,2,1,0,4,6,0,28,3,1725,64
Adam_Masina_355,38,False,2,1,0,4,6,0,31,3,1815,65
Adam_Smith_63,1,True,2,0,0,0,0,0,1,1,90,0
Adam_Smith_63,2,False,2,0,0,0,0,0,2,1,180,1
Adam_Smith_63,3,True,2,0,0,0,0,0,5,1,247,3
Adam_Smith_63,4,False,2,0,0,0,0,0,7,1,310,4
Adam_Smith_63,9,True,2,0,0,0,1,0,7,2,400,5
Adam_Smith_63,10,False,2,0,0,0,2,0,7,2,490,10
Adam_Smith_63,11,True,2,0,1,3,3,0,7,2,580,16
Adam_Smith_63,12,False,2,0,1,3,3,0,9,2,657,28
Adam_Smith_63,13,True,2,0,1,3,3,0,11,2,747,29
Adam_Smith_63,15,False,2,0,1,3,3,0,12,2,837,30
Adam_Smith_63,22,True,2,0,1,3,3,0,15,3,927,32
Adam_Smith_63,23,False,2,0,1,3,3,0,16,4,1017,32
Adam_Smith_63,24,True,2,0,1,3,3,0,17,4,1107,33
Adam_Smith_63,25,True,2,0,1,3,3,0,18,4,1197,35
Adam_Smith_63,26,False,2,0,1,3,3,0,20,4,1287,37
Adam_Smith_63,27,False,2,0,1,3,3,0,23,5,1377,38
Adam_Smith_63,28,True,2,0,1,3,3,0,25,6,1467,38
Adam_Smith_63,29,False,2,0,1,3,3,0,27,6,1557,38
Adam_Smith_63,30,True,2,0,1,3,3,0,29,7,1647,39
Adam_Smith_63,31,False,2,0,1,3,3,0,30,7,1737,39
Adam_Smith_63,32,True,2,0,1,3,3,0,34,7,1827,41
Adam_Smith_63,33,False,2,0,1,3,3,0,39,7,1903,41
Adam_Smith_63,34,True,2,0,1,3,4,0,39,7,1965,41
