name,GW,total_points
Ahmed_El Mohamady_22,11,0
Ahmed_El Mohamady_22,12,0
Ahmed_El Mohamady_22,13,0
Ahmed_El Mohamady_22,14,0
Ahmed_El Mohamady_22,15,6
Ahmed_El Mohamady_22,16,0
Ahmed_El Mohamady_22,17,0
Ahmed_El Mohamady_22,18,0
Ahmed_El Mohamady_22,19,6
Ahmed_El Mohamady_22,20,1
Ahmed_El Mohamady_22,21,0
Ahmed_El Mohamady_22,22,-1
Ahmed_El Mohamady_22,23,0
Ahmed_El Mohamady_22,24,0
Ahmed_El Mohamady_22,25,0
Ahmed_El Mohamady_22,26,0
Ahmed_El Mohamady_22,27,0
Ahmed_El Mohamady_22,29,1
Ahmed_El Mohamady_22,30,1
Ahmed_El Mohamady_22,31,8
Ahmed_El Mohamady_22,32,1
Ahmed_El Mohamady_22,33,0
Ahmed_El Mohamady_22,34,0
Ahmed_El Mohamady_22,35,7
Ahmed_El Mohamady_22,36,1
Ahmed_El Mohamady_22,37,1
Ahmed_El Mohamady_22,38,0
Ainsley_Maitland-Niles_4,1,12
Ainsley_Maitland-Niles_4,2,2
Ainsley_Maitland-Niles_4,3,1
Ainsley_Maitland-Niles_4,4,1
Ainsley_Maitland-Niles_4,5,4
Ainsley_Maitland-Niles_4,6,-3
Ainsley_Maitland-Niles_4,7,0
Ainsley_Maitland-Niles_4,8,0
Ainsley_Maitland-Niles_4,9,0
Ainsley_Maitland-Niles_4,10,0
Ainsley_Maitland-Niles_4,11,0
Ainsley_Maitland-Niles_4,12,0
Ainsley_Maitland-Niles_4,13,0
Ainsley_Maitland-Niles_4,14,0
Ainsley_Maitland-Niles_4,15,0
Ainsley_Maitland-Niles_4,16,2
Ainsley_Maitland-Niles_4,17,1
Ainsley_Maitland-Niles_4,18,6
Ainsley_Maitland-Niles_4,19,1
Ainsley_Maitland-Niles_4,20,0
Ainsley_Maitland-Niles_4,21,6
Ainsley_Maitland-Niles_4,22,1
Ainsley_Maitland-Niles_4,23,2
Ainsley_Maitland-Niles_4,24,0
Ainsley_Maitland-Niles_4,25,0
Ainsley_Maitland-Niles_4,26,0
Ainsley_Maitland-Niles_4,27,0
Ainsley_Maitland-Niles_4,29,0
Ainsley_Maitland-Niles_4,30,1
Ainsley_Maitland-Niles_4,31,1
Ainsley_Maitland-Niles_4,32,0
Ainsley_Maitland-Niles_4,33,0
Ainsley_Maitland-Niles_4,34,1
Ainsley_Maitland-Niles_4,35,0
Ainsley_Maitland-Niles_4,36,1
Ainsley_Maitland-Niles_4,37,0
Ainsley_Maitland-Niles_4,38,1
Akin_Famewo_552,8,0
Akin_Famewo_552,9,0
Akin_Famewo_552,10,0
Akin_Famewo_552,11,0
Akin_Famewo_552,12,0
Akin_Famewo_552,13,0
Akin_Famewo_552,14,0
Akin_Famewo_552,15,0
Akin_Famewo_552,16,0
Akin_Famewo_552,17,0
Akin_Famewo_552,18,0
Akin_Famewo_552,19,0
Akin_Famewo_552,20,0
Akin_Famewo_552,21,0
Akin_Famewo_552,22,0
Akin_Famewo_552,23,0
Akin_Famewo_552,24,0
Akin_Famewo_552,25,0
Akin_Famewo_552,26,0
Akin_Famewo_552,27,0
Akin_Famewo_552,28,0
Akin_Famewo_552,29,0
Akin_Famewo_552,30,0
Akin_Famewo_552,31,0
Akin_Famewo_552,32,0
Akin_Famewo_552,33,0
Akin_Famewo_552,34,0
Akin_Famewo_552,35,0
Akin_Famewo_552,36,0
Akin_Famewo_552,37,0
Akin_Famewo_552,38,1
Albian_Ajeti_514,1,0
Albian_Ajeti_514,2,0
Albian_Ajeti_514,3,0
Albian_Ajeti_514,4,0
Albian_Ajeti_514,5,0
Albian_Ajeti_514,6,0
Albian_Ajeti_514,7,0
Albian_Ajeti_514,8,0
Albian_Ajeti_514,9,1
Albian_Ajeti_514,10,1
Albian_Ajeti_514,11,1
Albian_Ajeti_514,12,1
Albian_Ajeti_514,13,0
Albian_Ajeti_514,14,0
Albian_Ajeti_514,15,1
Albian_Ajeti_514,16,0
Albian_Ajeti_514,17,0
Albian_Ajeti_514,19,1
Albian_Ajeti_514,20,1
Albian_Ajeti_514,21,0
Albian_Ajeti_514,22,0
Albian_Ajeti_514,23,1
Albian_Ajeti_514,24,0
Albian_Ajeti_514,25,0
Albian_Ajeti_514,26,0
Albian_Ajeti_514,27,0
Albian_Ajeti_514,28,0
Albian_Ajeti_514,29,0
Albian_Ajeti_514,30,0
Albian_Ajeti_514,31,0
Albian_Ajeti_514,32,0
