name,GW,total_points
Ahmed_El Mohamady_22,3,1
Ahmed_El Mohamady_22,5,1
Ahmed_El Mohamady_22,6,0
Ahmed_El Mohamady_22,11,0
Ahmed_El Mohamady_22,15,6
Ahmed_El Mohamady_22,16,0
Ahmed_El Mohamady_22,19,6
Ahmed_El Mohamady_22,20,1
Ahmed_El Mohamady_22,22,-1
Ahmed_El Mohamady_22,29,1
Ahmed_El Mohamady_22,30,1
Ahmed_El Mohamady_22,31,8
Ahmed_El Mohamady_22,32,1
Ahmed_El Mohamady_22,35,7
Ahmed_El Mohamady_22,36,1
Ahmed_El Mohamady_22,37,1
Ainsley_Maitland-Niles_4,1,12
Ainsley_Maitland-Niles_4,2,2
Ainsley_Maitland-Niles_4,3,1
Ainsley_Maitland-Niles_4,4,1
Ainsley_Maitland-Niles_4,5,4
Ainsley_Maitland-Niles_4,6,-3
Ainsley_Maitland-Niles_4,16,2
Ainsley_Maitland-Niles_4,17,1
Ainsley_Maitland-Niles_4,18,6
Ainsley_Maitland-Niles_4,19,1
Ainsley_Maitland-Niles_4,20,0
Ainsley_Maitland-Niles_4,21,6
Ainsley_Maitland-Niles_4,22,1
Ainsley_Maitland-Niles_4,23,2
Ainsley_Maitland-Niles_4,30,1
Ainsley_Maitland-Niles_4,31,1
Ainsley_Maitland-Niles_4,33,0
Ainsley_Maitland-Niles_4,34,1
Ainsley_Maitland-Niles_4,36,1
Ainsley_Maitland-Niles_4,38,1
Akin_Famewo_552,38,1
Albian_Ajeti_514,9,1
Albian_Ajeti_514,10,1
Albian_Ajeti_514,11,1
Albian_Ajeti_514,12,1
Albian_Ajeti_514,15,1
Albian_Ajeti_514,19,1
Albian_Ajeti_514,20,1
Albian_Ajeti_514,23,1
Albian_Ajeti_514,34,1
Alex_Iwobi_17,3,1
Alex_Iwobi_17,4,9
Alex_Iwobi_17,5,2
Alex_Iwobi_17,6,1
Alex_Iwobi_17,7,2
Alex_Iwobi_17,8,2
Alex_Iwobi_17,9,3
Alex_Iwobi_17,10,2
Alex_Iwobi_17,11,2
Alex_Iwobi_17,12,1
Alex_Iwobi_17,13,1
Alex_Iwobi_17,14,2
Alex_Iwobi_17,15,2
Alex_Iwobi_17,16,2
Alex_Iwobi_17,17,2
