name,GW,fixture,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Arthur_Masuaku_378,5,41,0,0,16,1,17.5,378,0,0,3.4,7.6,66,2,0,0,0,1,5,0,87409,0.0,0.0,9,3,53996,65621,11625,45,0,0
Arthur_Masuaku_378,9,85,0,0,9,0,15.3,378,2,0,3.9,21.4,90,8,0,0,0,0,9,0,57793,0.0,2.0,2,1,-6410,502,6912,45,0,0
Arthur_Masuaku_378,14,132,0,0,2,0,0.3,378,0,0,0.1,0.2,7,6,0,0,0,0,14,0,40300,1.0,0.0,0,1,-2583,149,2732,44,0,0
Arthur_Masuaku_378,16,160,0,0,7,0,16.3,378,3,0,3.0,13.8,39,1,0,0,0,0,16,0,37659,3.0,1.0,0,0,-1665,182,1847,43,1,0
Arthur_Masuaku_378,20,200,0,0,8,0,12.3,378,2,0,5.1,29.6,90,9,0,0,0,0,20,0,34040,2.0,1.0,9,0,-726,146,872,43,1,1
Arthur_Masuaku_378,21,210,0,0,2,0,1.0,378,0,0,2.2,4.0,7,3,0,0,0,0,21,0,33644,0.0,4.0,17,1,-504,1014,1518,42,1,0
Arthur_Masuaku_378,22,218,0,0,12,0,9.1,378,1,0,2.3,10.4,68,15,0,0,0,0,22,0,34067,0.0,1.0,3,2,245,1923,1678,42,0,0
Arthur_Masuaku_378,23,230,0,0,3,0,2.1,378,0,0,0.9,6.4,30,8,0,0,0,0,23,0,34934,1.0,1.0,0,1,790,2983,2193,42,1,0
Arthur_Masuaku_378,24,180,0,0,8,0,4.1,378,2,0,3.1,21.0,90,10,0,0,0,0,24,0,35475,2.0,0.0,6,1,272,1388,1116,42,1,0
Arthur_Masuaku_378,24,234,0,0,2,0,0.4,378,2,0,1.3,10.6,45,9,0,0,0,0,24,0,35475,1.0,4.0,2,0,272,1388,1116,42,0,0
Arthur_Masuaku_378,25,250,0,0,3,0,0.5,378,2,0,0.3,0.8,16,4,0,0,0,0,25,0,34420,3.0,3.0,2,0,-904,755,1659,42,1,0
Arthur_Masuaku_378,26,256,0,0,4,0,1.8,378,2,0,1.4,12.0,90,11,0,0,0,0,26,0,33442,0.0,2.0,0,0,-1022,289,1311,42,0,1
Arthur_Masuaku_378,35,346,0,0,3,0,1.6,378,0,0,0.2,0.6,7,14,0,0,0,0,44,0,33468,4.0,0.0,0,1,92,626,534,41,0,0
Arthur_Masuaku_378,37,365,0,0,3,0,0.8,378,0,0,0.8,6.8,15,12,0,0,0,0,46,0,33134,1.0,1.0,0,0,-242,196,438,41,0,1
Ashley_Barnes_90,1,3,0,3,58,1,1.8,90,0,2,16.2,71.4,83,16,0,0,0,0,1,0,43298,0.0,3.0,89,13,0,0,0,65,1,0
Ashley_Barnes_90,2,11,0,0,22,0,3.5,90,2,1,12.3,38.0,90,1,0,0,0,0,2,0,233541,1.0,2.0,81,5,105513,129929,24416,65,0,1
Ashley_Barnes_90,3,30,0,1,23,1,2.2,90,0,1,6.1,35.6,77,20,0,0,0,0,3,0,462696,1.0,1.0,23,7,193564,253226,59662,66,0,0
Ashley_Barnes_90,4,32,0,0,0,0,4.0,90,2,0,0.2,0.0,72,10,0,0,0,0,4,0,666994,3.0,0.0,5,2,177972,259444,81472,67,1,0
Ashley_Barnes_90,5,43,0,0,-2,0,1.3,90,1,0,0.2,0.0,90,4,0,0,0,0,5,0,760072,1.0,1.0,1,2,89304,232601,143297,67,0,0
Ashley_Barnes_90,6,52,0,0,5,1,3.0,90,0,0,5.6,0.0,78,14,0,0,0,0,6,0,676909,0.0,2.0,54,2,-86193,57570,143763,67,1,0
Ashley_Barnes_90,7,61,0,0,1,0,10.8,90,2,0,1.9,2.0,82,2,0,0,0,0,7,0,563453,2.0,2.0,6,1,-115630,34591,150221,66,0,1
Ashley_Barnes_90,8,73,0,0,4,1,0.1,90,0,0,1.4,2.0,72,8,0,0,0,0,8,0,480535,0.0,1.0,12,2,-85491,17311,102802,65,1,0
Ashley_Barnes_90,10,93,0,0,-6,0,11.3,90,4,0,4.7,0.0,62,6,0,0,0,0,10,0,291696,4.0,2.0,37,2,-57882,765,58647,64,1,0
Ashley_Barnes_90,11,108,0,0,-7,0,1.2,90,3,0,0.9,0.0,90,15,0,0,0,0,11,0,281377,0.0,3.0,18,1,-12277,17224,29501,63,0,1
Ashley_Barnes_90,12,111,0,2,29,1,5.1,90,0,1,7.6,33.6,80,19,0,0,0,0,12,0,265392,0.0,3.0,37,8,-15992,6858,22850,63,1,0
Ashley_Barnes_90,13,129,0,0,26,1,1.9,90,0,1,8.0,32.2,90,18,0,0,0,0,13,0,291726,3.0,0.0,46,6,23149,37540,14391,63,0,0
Ashley_Barnes_90,14,131,0,0,1,0,0.9,90,1,0,1.8,0.0,61,7,0,0,0,0,14,0,336130,2.0,0.0,20,2,42964,55144,12180,63,1,0
Ashley_Barnes_90,15,142,0,0,2,0,0.2,90,2,0,0.1,1.2,31,11,0,0,0,0,15,0,313567,4.0,1.0,0,1,-20549,8826,29375,63,1,0
Ashley_Barnes_90,17,162,0,0,5,1,21.3,90,0,0,5.6,7.0,90,13,0,0,0,0,17,0,229210,0.0,1.0,28,2,-38063,712,38775,63,1,0
Ashley_Barnes_90,18,172,0,0,-2,1,2.3,90,0,0,1.0,0.0,74,3,0,0,0,0,18,0,224422,1.0,0.0,8,1,-5735,3841,9576,62,0,1
Ashley_Barnes_90,19,185,0,0,4,0,0.3,90,1,0,0.2,1.2,16,8,0,0,0,0,19,0,217428,0.0,1.0,0,1,-7894,1074,8968,62,0,0
Ashley_Barnes_90,20,193,0,0,0,0,10.6,90,1,0,1.9,2.0,67,12,0,0,0,0,20,0,211204,2.0,0.0,6,2,-6498,835,7333,62,1,0
Ashley_Barnes_90,21,203,0,0,-2,0,0.3,90,2,0,0.0,0.0,45,2,0,0,0,0,21,0,205824,2.0,1.0,3,1,-5817,2652,8469,62,1,0
Ashley_Westwood_101,1,3,0,0,7,1,11.5,101,0,0,1.8,6.4,90,16,0,0,0,0,1,0,51159,0.0,3.0,0,3,0,0,0,55,1,0
Ashley_Westwood_101,2,11,0,0,9,0,22.6,101,2,0,3.9,12.8,90,1,0,0,0,0,2,0,48808,1.0,2.0,4,2,-4427,1859,6286,55,0,0
Ashley_Westwood_101,3,30,0,0,18,0,30.3,101,1,0,4.9,17.4,90,20,0,0,0,0,3,0,42752,1.0,1.0,1,2,-6723,1068,7791,55,0,0
Ashley_Westwood_101,4,32,0,0,13,0,15.3,101,3,0,2.7,12.0,90,10,0,0,0,0,4,0,37558,3.0,0.0,0,2,-5633,897,6530,54,1,0
Ashley_Westwood_101,5,43,0,0,9,0,32.4,101,1,0,4.7,11.0,90,4,0,0,0,0,5,0,35843,1.0,1.0,4,1,-2280,2312,4592,54,0,1
Ashley_Westwood_101,6,52,1,2,28,1,50.3,101,0,0,9.4,33.8,90,14,0,0,0,0,6,0,33328,0.0,2.0,10,8,-2693,766,3459,54,1,0
Ashley_Westwood_101,7,61,0,0,4,0,19.6,101,2,0,2.3,3.6,90,2,0,0,0,0,7,0,37218,2.0,2.0,0,1,3024,5533,2509,54,0,1
Ashley_Westwood_101,8,73,1,0,20,1,39.4,101,0,0,7.0,30.2,90,8,0,0,0,0,8,0,35192,0.0,1.0,0,5,-1937,1333,3270,54,1,1
Ashley_Westwood_101,9,86,0,0,20,0,31.9,101,2,0,7.1,31.4,90,9,0,0,0,0,9,0,35023,1.0,2.0,8,2,-472,1829,2301,54,0,0
Ashley_Westwood_101,10,93,0,0,12,0,3.2,101,4,0,3.3,9.6,90,6,0,0,0,0,10,0,34285,4.0,2.0,20,2,-819,1115,1934,54,1,0
Ashley_Westwood_101,11,108,0,0,15,0,18.8,101,3,0,2.9,9.8,90,15,0,0,0,0,11,0,33172,0.0,3.0,0,2,-1288,1428,2716,54,0,0
Ashley_Westwood_101,12,111,1,0,18,1,16.8,101,0,0,2.3,6.0,90,19,0,0,0,0,12,0,33001,0.0,3.0,0,5,-305,1579,1884,54,1,1
Ashley_Westwood_101,13,129,0,0,12,1,9.6,101,0,0,2.4,14.6,90,18,0,0,0,0,13,0,34639,3.0,0.0,0,2,1256,3232,1976,54,0,1
Ashley_Westwood_101,17,162,1,2,26,1,26.6,101,0,0,6.0,29.4,90,13,0,0,0,0,17,0,22454,0.0,1.0,4,8,-1953,27,1980,54,1,0
Ashley_Westwood_101,18,172,1,0,11,1,12.8,101,0,0,3.5,20.4,90,3,0,0,0,0,18,0,23529,1.0,0.0,2,5,816,1805,989,54,0,1
Ashley_Westwood_101,19,185,0,0,14,0,19.5,101,1,0,2.7,7.0,90,8,0,0,0,0,19,0,25395,0.0,1.0,0,2,1742,2386,644,54,0,0
Ashley_Westwood_101,20,193,0,0,14,0,37.3,101,2,0,5.2,12.4,90,12,0,0,0,0,20,0,25598,2.0,0.0,2,2,159,1033,874,54,1,0
Ashley_Westwood_101,21,203,1,1,24,0,48.7,101,2,0,9.3,32.0,90,2,0,0,0,0,21,0,26659,2.0,1.0,12,6,924,2486,1562,54,1,0
Ashley_Westwood_101,22,213,0,0,6,0,2.1,101,3,0,2.8,8.0,90,6,0,0,0,0,22,0,27035,0.0,3.0,18,1,187,2222,2035,54,0,1
