name,GW,points,form
Ainsley_Maitland-Niles_4,34,1,0.5
Ainsley_Maitland-Niles_4,36,1,0.25
Ainsley_Maitland-Niles_4,38,1,0.5
Akin_Famewo_552,38,1,0.0
Albian_Ajeti_514,9,1,0.0
Albian_Ajeti_514,10,1,0.25
Albian_Ajeti_514,11,1,0.5
Albian_Ajeti_514,12,1,0.75
Albian_Ajeti_514,15,1,0.5
Albian_Ajeti_514,19,1,0.25
Albian_Ajeti_514,20,1,0.25
Albian_Ajeti_514,23,1,0.5
Albian_Ajeti_514,34,1,0.0
Alex_Iwobi_17,3,1,0.0
Alex_Iwobi_17,4,9,0.3333333333333333
Alex_Iwobi_17,5,2,2.5
Alex_Iwobi_17,6,1,3.0
Alex_Iwobi_17,7,2,3.25
Alex_Iwobi_17,8,2,3.5
Alex_Iwobi_17,9,3,1.75
Alex_Iwobi_17,10,2,2.0
Alex_Iwobi_17,11,2,2.25
Alex_Iwobi_17,12,1,2.25
Alex_Iwobi_17,13,1,2.0
Alex_Iwobi_17,14,2,1.5
Alex_Iwobi_17,15,2,1.5
Alex_Iwobi_17,16,2,1.5
Alex_Iwobi_17,17,2,1.75
Alex_Iwobi_17,18,1,2.0
Alex_Iwobi_17,25,2,0.0
Alex_Iwobi_17,27,1,0.5
Alex_Iwobi_17,30,3,0.25
Alex_Iwobi_17,31,3,1.0
Alex_Iwobi_17,32,2,1.5
Alex_Iwobi_17,33,1,2.0
Alex_Iwobi_17,34,1,2.25
Alex_Iwobi_17,35,1,1.75
Alex_Iwobi_17,36,3,1.25
Alex_McCarthy_318,11,1,0.0
Alex_McCarthy_318,12,2,0.25
Alex_McCarthy_318,13,2,0.75
Alex_McCarthy_318,14,2,1.25
Alex_McCarthy_318,15,2,1.75
Alex_McCarthy_318,16,2,2.0
Alex_McCarthy_318,17,3,2.0
Alex_McCarthy_318,18,3,2.25
Alex_McCarthy_318,19,7,2.5
Alex_McCarthy_318,20,2,3.75
Alex_McCarthy_318,21,8,3.75
Alex_McCarthy_318,22,3,5.0
Alex_McCarthy_318,23,1,5.0
Alex_McCarthy_318,24,6,3.5
Alex_McCarthy_318,25,1,4.5
Alex_McCarthy_318,26,2,2.75
Alex_McCarthy_318,27,7,2.5
Alex_McCarthy_318,28,2,4.0
Alex_McCarthy_318,29,12,3.0
Alex_McCarthy_318,30,6,5.75
Alex_McCarthy_318,31,2,6.75
Alex_McCarthy_318,32,2,5.5
Alex_McCarthy_318,33,11,5.5
Alex_McCarthy_318,34,3,5.25
Alex_McCarthy_318,35,1,4.5
Alex_McCarthy_318,36,2,4.25
Alex_McCarthy_318,37,7,4.25
Alex_McCarthy_318,38,2,3.25
Alex_Oxlade-Chamberlain_193,2,2,0.0
Alex_Oxlade-Chamberlain_193,3,1,1.0
Alex_Oxlade-Chamberlain_193,4,1,1.0
Alex_Oxlade-Chamberlain_193,5,2,1.0
Alex_Oxlade-Chamberlain_193,7,1,1.0
Alex_Oxlade-Chamberlain_193,9,1,0.75
Alex_Oxlade-Chamberlain_193,11,1,0.5
Alex_Oxlade-Chamberlain_193,12,1,0.5
Alex_Oxlade-Chamberlain_193,13,3,0.75
Alex_Oxlade-Chamberlain_193,14,3,1.25
Alex_Oxlade-Chamberlain_193,16,8,1.75
Alex_Oxlade-Chamberlain_193,17,1,3.5
Alex_Oxlade-Chamberlain_193,22,2,0.0
Alex_Oxlade-Chamberlain_193,23,3,0.5
Alex_Oxlade-Chamberlain_193,24,10,1.25
Alex_Oxlade-Chamberlain_193,24,2,3.75
Alex_Oxlade-Chamberlain_193,25,8,4.25
Alex_Oxlade-Chamberlain_193,26,1,5.75
Alex_Oxlade-Chamberlain_193,27,1,5.25
Alex_Oxlade-Chamberlain_193,28,2,3.0
Alex_Oxlade-Chamberlain_193,29,2,3.0
Alex_Oxlade-Chamberlain_193,30,1,1.5
Alex_Oxlade-Chamberlain_193,31,1,1.5
Alex_Oxlade-Chamberlain_193,32,-1,1.5
Alex_Oxlade-Chamberlain_193,33,3,0.75
Alex_Oxlade-Chamberlain_193,34,2,1.0
Alex_Oxlade-Chamberlain_193,35,1,1.25
Alex_Oxlade-Chamberlain_193,36,2,1.25
Alex_Oxlade-Chamberlain_193,37,6,2.0
Alex_Oxlade-Chamberlain_193,38,5,2.75
Alexander_Tettey_289,2,1,0.0
Alexander_Tettey_289,5,2,0.25
Alexander_Tettey_289,6,1,0.75
Alexander_Tettey_289,9,3,0.75
Alexander_Tettey_289,10,2,1.0
Alexander_Tettey_289,11,2,1.25
Alexander_Tettey_289,12,2,1.75
Alexander_Tettey_289,13,2,2.25
Alexander_Tettey_289,15,5,1.5
Alexander_Tettey_289,16,9,2.25
Alexander_Tettey_289,17,1,4.0
Alexander_Tettey_289,18,2,3.75
Alexander_Tettey_289,19,1,4.25
Alexander_Tettey_289,20,2,3.25
Alexander_Tettey_289,21,1,1.5
Alexander_Tettey_289,22,2,1.5
Alexander_Tettey_289,23,3,1.5
Alexander_Tettey_289,24,2,2.0
Alexander_Tettey_289,25,3,2.0
Alexander_Tettey_289,26,2,2.5
Alexander_Tettey_289,27,2,2.5
Alexander_Tettey_289,28,3,2.25
Alexander_Tettey_289,29,2,2.5
Alexander_Tettey_289,31,2,1.75
Alexander_Tettey_289,32,2,1.75
Alexander_Tettey_289,33,2,1.5
Alexander_Tettey_289,34,0,1.5
Alexander_Tettey_289,35,2,1.5
Alexander_Tettey_289,36,2,1.5
Alexander_Tettey_289,37,2,1.5
