name,GW,points,form
Ainsley_Maitland-Niles_20,33,2,1.5
Ainsley_Maitland-Niles_20,34,1,2.0
Ainsley_Maitland-Niles_20,35,2,1.5
Ainsley_Maitland-Niles_20,35,1,2.0
Ainsley_Maitland-Niles_20,36,-2,1.5
Alberto_Moreno_240,10,2,0.0
Alberto_Moreno_240,15,2,0.0
Aleksandar_Mitrovic_480,1,2,0.0
Aleksandar_Mitrovic_480,2,6,2.0
Aleksandar_Mitrovic_480,3,16,4.0
Aleksandar_Mitrovic_480,4,5,8.0
Aleksandar_Mitrovic_480,5,2,7.25
Aleksandar_Mitrovic_480,6,8,7.25
Aleksandar_Mitrovic_480,7,1,7.75
Aleksandar_Mitrovic_480,8,2,4.0
Aleksandar_Mitrovic_480,9,5,3.25
Aleksandar_Mitrovic_480,10,1,4.0
Aleksandar_Mitrovic_480,11,1,2.25
Aleksandar_Mitrovic_480,12,2,2.25
Aleksandar_Mitrovic_480,13,13,2.25
Aleksandar_Mitrovic_480,14,2,4.25
Aleksandar_Mitrovic_480,15,5,4.5
Aleksandar_Mitrovic_480,16,1,5.5
Aleksandar_Mitrovic_480,17,2,5.25
Aleksandar_Mitrovic_480,18,2,2.5
Aleksandar_Mitrovic_480,19,2,2.5
Aleksandar_Mitrovic_480,20,7,1.75
Aleksandar_Mitrovic_480,21,2,3.25
Aleksandar_Mitrovic_480,22,2,3.25
Aleksandar_Mitrovic_480,23,1,3.25
Aleksandar_Mitrovic_480,24,13,3.0
Aleksandar_Mitrovic_480,25,2,4.5
Aleksandar_Mitrovic_480,26,1,4.5
Aleksandar_Mitrovic_480,27,2,4.25
Aleksandar_Mitrovic_480,28,2,4.5
Aleksandar_Mitrovic_480,29,2,1.75
Aleksandar_Mitrovic_480,30,2,1.75
Aleksandar_Mitrovic_480,31,2,2.0
Aleksandar_Mitrovic_480,32,2,2.0
Aleksandar_Mitrovic_480,34,5,1.5
Aleksandar_Mitrovic_480,35,5,2.25
Aleksandar_Mitrovic_480,36,2,3.0
Aleksandar_Mitrovic_480,37,2,3.0
Aleksandar_Mitrovic_480,38,2,3.5
Alex_Iwobi_15,2,7,0.0
Alex_Iwobi_15,3,4,3.5
Alex_Iwobi_15,6,1,2.75
Alex_Iwobi_15,7,4,1.25
Alex_Iwobi_15,8,2,1.25
Alex_Iwobi_15,9,2,1.75
Alex_Iwobi_15,10,2,2.25
Alex_Iwobi_15,11,4,2.5
Alex_Iwobi_15,12,1,2.5
Alex_Iwobi_15,13,2,2.25
Alex_Iwobi_15,14,1,2.25
Alex_Iwobi_15,15,2,2.0
Alex_Iwobi_15,16,1,1.5
Alex_Iwobi_15,17,2,1.5
Alex_Iwobi_15,18,6,1.5
Alex_Iwobi_15,19,1,2.75
Alex_Iwobi_15,20,5,2.5
Alex_Iwobi_15,21,6,3.5
Alex_Iwobi_15,22,2,4.5
Alex_Iwobi_15,23,1,3.5
Alex_Iwobi_15,24,1,3.5
Alex_Iwobi_15,25,2,2.5
